UMAP1,UMAP2,UMAP3,cluster
3.7268212,-0.63487905,4.950256,1
3.882011,-0.84803486,5.156503,1
4.0823812,-1.136942,5.3384905,1
3.8552125,-0.7843514,5.0809226,1
3.878868,-0.7487456,5.0340643,1
4.3590913,-1.3815161,5.393172,1
4.354905,-1.3801113,5.399576,1
3.8532941,-0.884219,5.2649636,1
3.97346,-0.61287636,4.82751,1
3.8909566,-0.83478546,5.119534,1
3.9886897,-0.61497706,4.757004,1
3.8912563,-0.8446711,5.1234655,1
3.6871595,-0.6311502,4.9773555,1
4.3801055,-1.390056,5.4124546,1
4.341734,-1.373183,5.401815,1
4.2501774,-0.6885861,4.7140207,1
3.749921,-0.6800636,5.02,1
3.9902313,-0.6480464,4.7769704,1
4.3187103,-1.3384923,5.3798614,1
3.8155668,-0.87396455,5.298824,1
3.9958637,-0.6031893,4.776765,1
4.0196753,-0.61160403,4.795337,1
3.8397455,-0.8089808,5.1115913,1
4.373415,-1.4024864,5.4219146,1
3.7321947,-0.60940975,4.9064927,1
3.9135408,-0.9715251,5.266634,1
3.819996,-0.83817226,5.169928,1
3.9816325,-0.60105604,4.7999268,1
3.8900292,-0.92384607,5.1857896,1
3.8321493,-0.58382404,4.8166056,1
4.0092287,-0.6039985,4.7634687,1
3.6831045,-0.66688347,5.0323353,1
4.017439,-0.60672987,4.796843,1
3.8507202,-0.582332,4.810517,1
3.6415462,-0.54799396,4.906949,1
3.771738,-0.8404233,5.209293,1
3.8810012,-0.8896047,5.1801467,1
3.81724,-0.90524644,5.3410025,1
3.7887173,-0.84940726,5.213108,1
4.0674872,-0.58163536,4.7771807,1
8.604688,-0.37555507,4.836694,0
3.9542096,-0.5806392,4.7717495,1
3.5610337,-0.5938199,5.0021434,1
3.6972272,-0.7287486,5.136402,1
3.451693,-0.47781944,4.8966312,1
3.6396117,-0.6107026,4.984417,1
3.5898063,-0.67377186,5.067869,1
8.760638,-0.3671049,4.8165097,0
4.0052733,-1.1035435,5.360656,1
8.6045,-0.39136127,4.8898263,0
3.5314636,-0.58176434,5.0034013,1
4.320808,-1.359458,5.40507,1
3.6945384,-0.80018693,5.2101836,1
3.4103014,-0.5115379,4.9756765,1
3.8027499,-0.9013621,5.255969,1
3.5632281,-0.50363666,4.8568654,1
3.4613774,-0.4996463,4.933966,1
4.3722715,-1.4010473,5.4085803,1
3.460679,-0.61761075,5.0934863,1
3.437242,-0.48654947,4.929669,1
4.345792,-1.3655555,5.395521,1
8.592876,-0.3838078,4.8606296,0
3.8154092,-0.9761367,5.370681,1
3.5501838,-0.65013963,5.0827093,1
3.3695517,-0.5293978,5.029628,1
3.750694,-0.8739301,5.271772,1
3.455805,-0.5415707,4.991738,1
4.2630625,-1.2943815,5.377054,1
8.700634,-0.36206102,4.82107,0
3.4244385,-0.5037406,4.962386,1
3.441587,-0.49837354,4.948667,1
9.16759,-0.39926827,5.0595365,0
3.6994648,-0.78421974,5.4096484,1
3.4026067,-0.5187846,4.9959116,1
3.784088,-0.9732729,5.390204,1
8.672075,-0.36543384,4.826396,0
3.7116916,-0.7002307,5.3685164,1
3.6688914,-1.0997863,5.664652,1
3.6798732,-1.1549513,5.707248,1
3.1673594,-0.4449517,4.91071,1
3.4327307,-0.544037,5.0179186,1
8.62493,-0.37070552,4.832474,0
3.2428887,-0.42587185,4.976846,1
8.667388,-0.365755,4.8179607,0
9.312317,-0.39721635,5.0930076,0
2.9742737,-0.32469735,4.897024,1
3.2746897,-0.5492307,5.100231,1
3.3542805,-0.6971681,5.22134,1
3.4345098,-0.6336187,5.1315675,1
9.331682,-0.39497998,5.0959625,0
3.286615,-0.45372128,4.9038205,1
3.41332,-0.66279143,5.2134156,1
3.4834971,-0.5540524,5.014231,1
9.164373,-0.39404762,5.0428505,0
3.6042404,-0.8487975,5.510041,1
3.722323,-0.876744,5.3102775,1
8.693952,-0.36598542,4.820222,0
3.412031,-0.49119025,4.9388986,1
8.640958,-0.3753746,4.849859,0
3.1496904,-0.4023603,4.9363074,1
3.6058002,-0.6808572,5.232938,1
9.203124,-0.3900477,5.044744,0
3.6833777,-0.86255234,5.317904,1
3.376991,-0.65799105,5.2336307,1
3.1462278,-0.44150537,5.0569715,1
4.362462,-1.4020382,5.4122996,1
8.633967,-0.36716682,4.8435354,0
3.383711,-0.6792076,5.247789,1
8.636788,-0.37007645,4.854053,0
2.886546,-0.32308447,5.1099563,1
2.8484912,-0.3000695,5.1098433,1
3.3740487,-0.48683673,4.9543195,1
