author,author_href,description,number_of_user_opinions,number_of_user_ratings,number_of_discussions,Kategoria,Format,Cykl,Tytuł oryginału,Wydawnictwo,Data wydania,Data 1. wyd. pol.,Data 1. wydania,Liczba stron,Czas czytania,Język,ISBN,Tłumacz,Ekranizacje,number_of_people_read,number_of_people_has,number_of_people_favorite,number_of_people_wants_to_read,number_of_people_wants_as_gift,number_of_people_currently_read,tags,rating_10,rating_9,rating_8,rating_7,rating_6,rating_5,rating_4,rating_3,rating_2,rating_1,Inne,author1,author_href1,Seria,author2,author_href2
Elizabeth Gilbert,https://lubimyczytac.pl/autor/14221/elizabeth-gilbert," Elizabeth Gilbert przed trzydziestką miała wszystko, o czym powinna marzyć nowoczesna kobieta: męża, dom za miastem, dobrą pracę. Mimo to nie była ani szczęśliwa, ani spełniona. Przeżyła rozwód, ciężką depresję i nieszczęśliwą miłość. A potem zaczęła szukać siebie na nowo. ",802,7194,0,"biografia, autobiografia, pamiętnik",papier,,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Rebis,2013-01-01,2010-01-01,2007-07-05,484,8  godz. 4 min.,polski,9788375100747,Marta Jabłońska-Majchrzak,"Jedz, módl się, kochaj (2010)",9688,2586,345,3632,47,323,życie&podróże&przemiana&relaks&modlitwa&wiara,258,399,705,1410,1541,1291,488,631,190,281,,,,Salamandra,,
Jo Nesbø,https://lubimyczytac.pl/autor/19183/jo-nesbo," Rynkiem narkotyków w Oslo rządzi tajemniczy Dubaj. Dochodzi do zabójstwa z rodzaju tych, które zasługują najwyżej na krótką notkę w gazecie: młody zdesperowany heroinista próbuje ukraść narkotyk drugiemu i zostaje zastrzelony. Policja błyskawicznie aresztuje domniemanego sprawcę.Harry Hole stara się doprowadzić do wznowienia policyjnego śledztwa w sprawie zabójstwa narkomana, ponieważ nie wierzy, by zbrodni dokonał aresztowany chłopak... ",533,7313,0,"kryminał, sensacja, thriller",papier,Harry Hole (tom 9),Gjenferd,Wydawnictwo Dolnośląskie,2014-11-19,2012-06-27,2012-01-01,426,7  godz. 6 min.,polski,9788327151711,Iwona Zimnicka,,10019,2233,309,4353,70,129,Harry Hole,578,1041,2779,2084,629,132,39,19,4,8,,,,Ślady zbrodni,,
Camilla Läckberg,https://lubimyczytac.pl/autor/31412/camilla-lackberg," Zaginięcie czteroletniej Linnei z gospodarstwa koło Fjällbacki przypomina tragiczne wydarzenie sprzed trzydziestu lat. Z tego samego miejsca zginęła wtedy mała dziewczynka, której ciało zostało wkrótce znalezione w pobliskim leśnym jeziorku. Do morderstwa przyznały się dwie trzynastolatki, potem to odwołały, jednak sąd uznał je za winne, chociaż jako nieletnie nie trafiły do więzienia. Jedna z nich mieszkała potem spokojnie w Fjällbace. Druga wróciła po latach jako słynna hollywoodzka aktorka, aby zagrać w kręconym tam filmie o aktorce Ingrid Bergman, która często spędzała wakacje w tej okolicy.Patrik Hedström i jego koledzy z komisariatu w Tanumshede zaczynają szukać jakiegoś związku między obiema sprawami, chociaż początkowo sami w niego nie wierzą. Pomaga im Erika Falck, która pracuje nad książką o zbrodni sprzed lat. ",745,7372,0,"kryminał, sensacja, thriller",papier,Saga o Fjällbace (tom 10),Haxan,Czarna Owca,2017-11-08,2017-11-08,2018-01-01,592,9  godz. 52 min.,polski,9788380150799,Inga Sawicka,,201868,1680,129,3310,,130,kryminał&literatura skandynawska&cykl&Fjällbaca&śledztwo&zabójstwo&przeszłość&imigrant&ksenofobia&szwecja&aktorka&pisarka&policjant&morderstwo dziecka&sprawa sprzed lat,510,668,1968,2530,1076,386,117,78,25,14,#0 Top 100 1 nagroda,,,,,
Remigiusz Mróz,https://lubimyczytac.pl/autor/82094/remigiusz-mroz," Po zdanym egzaminie adwokackim, świeżo upieczony mecenas Oryński ma zastąpić Chyłkę jako główna siła napędowa kancelarii Żelazny & McVay. Pierwsza sprawa, jaką poprowadzi, niechybnie zaważy na całej jego przyszłości zawodowej. Kordian nie ma jednak żadnego wyboru – zostaje zmuszony przez Piotra Langera, by podjąć się obrony pewnego chłopaka w Poznaniu. Co ich łączy? I dlaczego Langerowi tak zależy na jego obronie?Siedemnastolatek oskarżony jest o wyjątkowo krwawe zabójstwo dwóch kolegów ze szkoły, które łudząco przypomina sposób działania Sadysty z Mokotowa. Nie ma alibi, plącze się w zeznaniach, a dowody przemawiają przeciwko niemu. Nawet Chyłka jest przekonana, że tej sprawy nie da się wygrać… ",654,7365,0,"kryminał, sensacja, thriller",papier,Joanna Chyłka (tom 10),,Czwarta Strona,2019-09-18,2019-09-18,,538,8  godz. 58 min.,polski,9788366381933,,,10234,1114,114,1769,,86,literatura polska&manipulacja&oskarżenie&poszukiwanie prawdy&prokurator&sędzia&szantaż&śledztwo&thriller&zabójstwo&Poznań,597,615,1901,2407,1187,396,141,65,42,14,,,,,,
Sally Rooney,https://lubimyczytac.pl/autor/170961/sally-rooney," Sally Rooney, nazywana Salingerem doby Instagrama, w Normalnych ludziach opowiada o trudnej miłości wplątanej w skomplikowane, zhierarchizowane relacje organizujące świat, w którym nastoletni bohaterowie muszą się odnaleźć. Rooney udowadnia, że o miłości nie napisano jeszcze ostatniego słowa.Marianne i Connell żyją tuż obok siebie, choć pochodzą z dwóch różnych światów. Mieszkają w niewielkim mieście, jednym z tych, z których chce się jak najszybciej uciec. Chodzą do tej samej szkoły, ale na korytarzu mijają się bez słowa, unikają swoich spojrzeń, chociaż łączy ich więcej niż wspólne lekcje. Ukrywanie tej znajomości nie jest trudne, komplikacje zaczynają się wtedy, gdy między dwojgiem nastolatków budzi się uczucie. ",1066,7345,0,literatura piękna,papier,,Normal People,W.A.B.,2022-02-10,2020-04-22,2018-01-01,304,5  godz. 4 min.,polski,9788328097308,Jerzy Kozłowski,,8750,994,156,4406,,162,,235,484,1242,1910,1701,923,399,239,129,83,#0 Top 100 1 nagroda,,,,,
Elle Kennedy,https://lubimyczytac.pl/autor/103637/elle-kennedy," Niepowstrzymane uczucia, gorący romans i błyskotliwy humor w opowieści o parze, którą łączy tylko gra pozorówOna ma właśnie pójść na pewien układ z niegrzecznym studentem... Hannah Wells w końcu znalazła chłopaka, który rozbudził jej namiętność. Wydaje się, że ta dziewczyna jest pewna siebie w każdym aspekcie życia… ale jeśli chodzi o seks i uwodzenie okazuje się, że ciągnie za sobą dotkliwy bagaż doświadczeń. Żeby zwrócić uwagę swojego wybranka, będzie musiała porzucić kokon bezpieczeństwa i sprawić, by to on się nią zainteresował. By osiągnąć swój cel, gotowa jest pójść na pewien układ i w zamian za udzielenie korków nieznośnemu, wkurzającemu i zadufanemu w sobie kapitanowi drużyny hokejowej, idzie na fałszywa randkę...On bez wahania przyjmuje niemoralną propozycję...Garrett Graham od zawsze marzył o zawodowej karierze hokejowej, ale gdy średnia jego ocen gwałtownie spada, wszystko na co tak ciężko pracował do tej pory, staje pod znakiem zapytania. Decyduje się pomóc pewnej brunetce z ciętym językiem wzbudzić zazdrość w innym chłopaku, bo w zamian za to może zabezpieczyć swoją pozycję w drużynie. Ale jeden nieoczekiwany pocałunek rozpala żar dwojga ciał i Garrett szybko uświadamia sobie, że udawanie nie wchodzi w grę. Musi teraz przekonać Hannah, że mężczyzna jej marzeń wygląda dokładnie tak jak on... ",752,7282,0,"literatura obyczajowa, romans",papier,Off-Campus (tom 1),The Deal,Zysk i S-ka,2023-12-08,2022-03-29,2015-01-24,464,7  godz. 44 min.,polski,9788383350295,Anna Mackiewicz,,9459,914,787,3520,95,90,namiętność&układ&gra&Anna Mackiewicz&literatura kanadyjska&studia&studenci&Hokeiści&Romans sportowy&Sportowcy,1350,1292,2090,1491,696,232,58,40,15,18,#0 Top 100 1 nagroda,,,,,
Anthony Burgess,https://lubimyczytac.pl/autor/22013/anthony-burgess," Miasto nie może sobie poradzić z bandami mordujących i gwałcących wyrostków. Ale pełna makabra zaczyna się, gdy sąd i policja biorą stronę bandytów i zapewniają im bezkarność. Poznaliśmy to na własnej skórze.Kiedy skóra nam cierpnie przy wyczynach 15-letniego Alexa i jego młodocianych zwyrodnialców, zadajemy sobie pytanie: czy to jest realne?Ktoś krzyknął, że ""Mechanicznej pomarańczy"" ma w Polsce nie być! I przez 15 lat cenzura prowadziła z nią wojnę. Ilu jeszcze takich dyspotentów ma do dzisiaj w ręku bat i tępy nóż?Anthony Burgess stworzył dla tej powieści osobny język. Przekład Roberta Stillera to nie tylko brawurowy popis wynalazczości językowej. To coś przerażająco realnego: istnieje szansa, że takim językiem Polacy będą rzeczywiście mówić.Nie to jest w ""Mechanicznej pomarańczy"" najokropniejsze, co jej bohaterowie wyczyniają, ale to, co się przy tym dzieje w ich tylko pozornie ludzkiej świadomości.Wersja R. ",554,7082,0,"fantasy, science fiction",papier,,A Clockwork Orange,Vis-á-Vis/Etiuda,2021-01-01,1991-01-01,1982-01-01,256,4  godz. 16 min.,polski,9788379982608,Robert Stiller,Mechaniczna pomarańcza (1990),9430,2525,679,9460,135,299,resocjalizacja&Ludwig van&Korova Milky Bar&literatura angielska&książki zekranizowane&antyutopia,868,1626,1874,1672,605,231,68,62,33,43,#0 Top 100 1 nagroda,,,,,
C.S. Lewis,https://lubimyczytac.pl/autor/8430/c-s-lewis," W końcowym, siódmym tomie cyklu jesteśmy świadkami śmiertelnego boju o Narnię, do jakiego staje ostatni król, Tirian, wraz z garstką przyjaciół. Czy uda im się zwyciężyć i ocalić cudowną krainę przed zniszczeniem? ",305,7085,0,"fantasy, science fiction",papier,Opowieści z Narnii (tom 7),The Last Battle,Media Rodzina,2008-01-01,1989-01-01,1974-01-01,195,3  godz. 15 min.,polski,9788372782878,Andrzej Polkowski,,11991,3257,569,2978,88,54,narnia&fantastyka&magia,690,860,1352,2186,1158,546,144,102,32,15,,,,,,
Katarzyna Berenika Miszczuk,https://lubimyczytac.pl/autor/19159/katarzyna-berenika-miszczuk," Trzeci tom bestsellerowego cyklu Kwiat paproci!Gosia ma wrażenie (całkiem słuszne zresztą),że po Nocy Kupały całe jej życie wywraca się do góry nogami.Mieszko znika w ważnych sprawach i oczywiście nie ma ochoty do niej dzwonić. Okoliczne demony są przekonane, że młoda szeptucha ma związek z tajemniczym zniknięciem Radka. Swarożyc coraz bardziej się jej naprasza, w końcu Gosława jest mu winna przysługę. Szeptuchowanie także nie idzie tak, jak powinno. A na dodatek na horyzoncie pojawia się nowy żerca, który obejmuje schedę po Mszczuju.Podczas samodzielnie poprowadzonego wieczoru panieńskiego Gosia nieopatrznie przesadzi z miłosnymi wywarami. Czy będzie to miało duży wpływ na wiele jej przyszłych decyzji?Niespodziewanie szeptuchę odwiedzi też jej mama, a coraz więcej rodzinnych tajemnic zacznie wychodzić z szafy.I pomyśleć, że to miał być taki spokojny staż u wiejskiej szeptuchy! ",761,7316,0,"fantasy, science fiction",papier,Kwiat paproci (tom 3),,Wydawnictwo Mięta,2022-12-14,2017-05-10,,512,8  godz. 32 min.,polski,9788367341547,,,9536,1502,405,2072,,117,czary&dynastia Piastów&historia alternatywna&humor&książę&fantasy&literatura polska&magia&romans&Słowianie&uczucie&wierzenia&władza,799,826,1946,2144,1077,311,109,66,19,19,#0 Top 100 1 nagroda,,,,,
Stephen King,https://lubimyczytac.pl/autor/13997/stephen-king," Wyjątkowe wydanie książki z barwionymi krawędziami stron i ze wstążeczką.""INSTYTUT""Mocny jak ""To"", przerażający jak ""Podpalaczka""!Stephen King powraca do motywów znanych z jego najlepszych książek.Zjawiają się w nocy.W ciągu dwóch minut eliminują wszystkie przeszkody.I uprowadzają obiekt.Interesują ich dzieci.Wyjątkowe dzieci…Luke Ellis budzi się w pokoju do złudzenia przypominającym jego własny, tyle że bez okien. Wkrótce orientuje się, że trafił do tajemniczego Instytutu i nie jest jedynym dzieciakiem, którego tu uwięziono. To miejsce odosobnienia dla nastolatków obdarzonych zdolnościami telepatii lub telekinezy. W Instytucie zostaną poddani testom, które wzmocnią ich naturalną, choć nadprzyrodzoną moc. Opiekunowie nie mają skrupułów – grzeczne dzieci są nagradzane, nieposłuszne – surowo karane. Wszyscy jednak, prędzej czy później, trafią do drugiej części Instytutu, a stamtąd nikt już nie wraca.Gdy kolejne dzieci znikają w Tylnej Połowie, Luke jest coraz bardziej zdesperowany. Musi uciec i wezwać pomoc. Bo jeśli komuś miałoby się udać, to właśnie jemu. Tylko że nikt dotąd nie uciekł z Instytutu. ",1042,7292,0,horror,papier,,The Institute,Albatros,2024-02-15,2019-01-01,2019-09-10,672,11  godz. 12 min.,polski,9788383610221,Rafał Lisowski,,8633,1778,153,4182,,284,eksperyment&horror&literatura amerykańska&porwanie&strach&śmierć&telekineza&telepatia&ucieczka&walka o przetrwanie&walka o życie,549,1022,2335,2148,828,258,85,42,19,6,#0 Top 100 1 nagroda,,,,,
Bonnie Garmus,https://lubimyczytac.pl/autor/232239/bonnie-garmus," Teraz światowy bestseller w nowej oprawie!Elizabeth Zott jest chemiczką i kobietą daleką od przeciętności. Byłaby zresztą gotowa jako pierwsza spierać się, czy coś takiego jak „przeciętna kobieta” w ogóle istnieje. Ale jest połowa lat 50. i jej koledzy z całkowicie męskoosobowego zespołu naukowców prezentują bardzo nienaukowe podejście do kwestii równouprawnienia płci. Wszyscy z wyjątkiem jednego: to Calvin Evans, słynący z pamiętliwości samotny geniusz, który zakochuje w umyśle Elizabeth. Co skutkuje autentyczną chemią.Tyle że, podobnie jak w przypadku nauki, życie bywa nieprzewidywalne. Dlatego parę lat później Elizabeth jest nie tylko samotną matką, ale i gwiazdą telewizyjnego programu kulinarnego. Jej niezwykłe podejście do gotowania staje się zaczątkiem rewolucji. W miarę jednak jak rosną zastępy jej sympatyków, rośnie też grupa niezadowolonych. Okazuje się bowiem, że Elizabeth nie uczy kobiet po prostu gotować – robi znacznie więcej. Ośmiela je do zmiany status quo.""Lekcje chemii"" są oryginalne i dynamiczne, a do tego zabawne do rozpuku, przenikliwie trafne i pełne krwistych postaci drugoplanowych. ",1084,7345,0,literatura piękna,papier,,Lessons in Chemistry,Marginesy,2024-11-13,2022-09-07,2022-04-05,464,7  godz. 44 min.,polski,9788368265088,Marek Cieślik,Lekcje chemii (2023),8312,526,247,4147,,229,chemiczka&gotowanie&kobieta&feminizm&pewność siebie&literatura amerykańska,986,1636,2530,1323,507,181,79,54,30,19,#0 Top 100 1 nagroda,,,,,
René Goscinny,https://lubimyczytac.pl/autor/15568/rene-goscinny," Mikołajek, Joachim, Euzebiusz, Maksencjusz, Alcest, Ananiasz… To imiona najpopularniejszych łobuziaków w historii literatury dziecięcej. Ich przygody bawią polskich czytelników już od pół wieku!Przez lata książki ukazywały się w niezmienionej szacie graficznej – ten charakterystyczny kwadratowy format rozpoznawał każdy fan serii.Na pięćdziesiątą rocznicę pierwszego polskiego wydania przygotowaliśmy zupełnie nową edycję cyklu. Nieco większy format i nowe okładki kryją jednak te same przezabawne historie, które ciągle zdobywają nowych czytelników w różnym wieku, zachwycając kolejne pokolenia. ",446,7013,1,literatura dziecięca,papier,Przygody Mikołajka (tom 1),Le Petit Nicolas,Nasza Księgarnia,2014-08-13,1986-01-01,1973-07-26,176,2  godz. 56 min.,polski,9788310126993,Elżbieta Staniszkis,,11056,1573,609,1000,74,69,Mikołajek&francuska szkoła&opowiadania&dzieci,787,1389,1853,1946,594,311,60,50,7,16,,Jean-Jacques Sempé,https://lubimyczytac.pl/autor/15567/jean-jacques-sempe,Mikołajek,,
